Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
30/10/2023,"85,000.00","87,000.00","87,100.00","85,000.00",1.87M,-2.30%
27/10/2023,"87,000.00","87,500.00","88,000.00","86,300.00",2.03M,0.23%
26/10/2023,"86,800.00","88,300.00","89,900.00","86,000.00",5.91M,-4.51%
25/10/2023,"90,900.00","91,800.00","92,700.00","90,900.00",1.84M,-1.20%
24/10/2023,"92,000.00","92,400.00","92,400.00","90,800.00",1.61M,1.10%
23/10/2023,"91,000.00","93,800.00","93,800.00","90,800.00",1.97M,-2.05%
20/10/2023,"92,900.00","92,500.00","93,000.00","90,100.00",2.86M,0.98%
19/10/2023,"92,000.00","94,000.00","94,300.00","92,000.00",3.03M,-1.08%
18/10/2023,"93,000.00","94,900.00","94,900.00","91,000.00",6.14M,-0.11%
17/10/2023,"93,100.00","97,800.00","97,800.00","93,100.00",2.42M,-3.82%
16/10/2023,"96,800.00","96,800.00","98,900.00","96,300.00",4.97M,0.73%
13/10/2023,"96,100.00","96,000.00","96,300.00","95,300.00",2.36M,-0.31%
12/10/2023,"96,400.00","97,000.00","97,800.00","96,000.00",1.88M,-0.62%
11/10/2023,"97,000.00","95,900.00","98,000.00","95,900.00",2.36M,0.73%
10/10/2023,"96,300.00","96,500.00","97,200.00","95,400.00",3.26M,0.73%
9/10/2023,"95,600.00","92,400.00","95,600.00","92,200.00",3.66M,3.13%
6/10/2023,"92,700.00","91,500.00","92,800.00","91,000.00",1.15M,1.20%
5/10/2023,"91,600.00","92,800.00","93,300.00","91,600.00",1.37M,-0.97%
4/10/2023,"92,500.00","91,300.00","93,400.00","91,300.00",1.59M,0.33%
3/10/2023,"92,200.00","92,200.00","93,500.00","91,500.00",2.01M,-1.07%
2/10/2023,"93,200.00","93,400.00","93,800.00","92,000.00",1.14M,0.43%
29/09/2023,"92,800.00","94,000.00","94,900.00","92,800.00",1.64M,-1.28%
28/09/2023,"94,000.00","94,100.00","94,300.00","91,400.00",1.76M,-0.32%
27/09/2023,"94,300.00","93,900.00","94,300.00","90,400.00",4.51M,0.86%
